Legal Name,Foundation POC Email,EIN,DBA,Phone Number,Mission,Vision,Has Fiscal Sponsor,Fiscal Sponsor Name,Fiscal Sponsor EIN,Fiscal Sponsor Email,Fiscal Sponsor Primary Contact Name,Fiscal Sponsor Primary Contact Email,Fiscal Sponsor Address 1,Fiscal Sponsor Address 2,Fiscal Sponsor City,Fiscal Sponsor State,Fiscal Sponsor Zipcode,Fiscal Sponsor Country,Org Email,Description,Primary Contact Email,Website,HQ Address 1,HQ Address 2,HQ City,HQ State,HQ Zip Code,HQ Country,Mailing Address 1,Mailing Address 2,Mailing Address City,Mailing Address State,Mailing Address Zip Code,Mailing Address Country,Facebook,Twitter,Instagram,LinkedIn,Guidestar Profile,Legal Status,Founding Date,partner-type,Nonprofit Id
Clean Air Task Force,maya+temelio+demo@trytemelio.com,43512550,Clean Air Task Force,,"CATF is a nonprofit organization dedicated to reducing atmospheric pollution through research, advocacy, and private sector collaboration.",,,,,,,,,,,,,,,"Catalyzing resilient solutions, scaled to meet the climate challenge.",,,,,BOSTON,Massachusetts,,,,,,,,,,,,,,,,,
Trees of the Future,maya+temelio+demo@trytemelio.com,833836655,Seeds Of The Future Inc,,,,,,,,,,,,,,,,,"Seeds Of The Future Inc is a nonprofit organization focused on community development. It is based in Miami, FL. It received its nonprofit status in 2019.",,,,,NEW YORK,NY,,,,,,,,,,,,,,,,,
Outward Bound California,maya+temelio+demo@trytemelio.com,264206241,Outward Bound California,,"Outward Bound California is a character development school that uses high-impact activities in a wilderness setting to teach human skills: compassion, confidence, teamwork, leadership, resilience and self-awareness. We lead our students -- teens, adults and veterans -- on character-building expeditions in the High Sierra, Joshua Tree, the Coast Range of Central California, and on one-day experiences on our ropes challenge course in San Francisco. Outward Bound California experiences are available to the general public, through group programming for schools and youth service nonprofits, and to veterans. Over two-thirds of our students receive scholarship support. Outward Bound California engages in equity work with the goal of ensuring high-quality outcomes for students and staff across identities (race, socioeconomic status, gender identity, immigration status, and more).",,,,,,,,,,,,,,,"Outward Bound California changes lives through challenge and discovery, for youth, adults and veterans.",,,,,548 Market Street,PMB 68876,,,,,,,,,,,,,,,,,
Cool Earth,maya+temelio+demo@trytemelio.com,263688173,Cool Earth,,"Cool Earth shares the most effective conservation methods around the world and invests in those with the potential for best outcomes for people and rainforest. Innovation is the key to scaling up rapid rainforest protection and the lessons learned in one partnership can often be applied to benefit another. We work with communities who want to protect their forest. From setting up an in-country team to working directly with communities and local NGOs to develop their capacity, our partnerships are community-led and adaptable to each location.",,,,,,,,,,,,,,,Halting rainforest destruction and its impact on climate change by working alongside rainforest communities.,,,,,Brooklyn,New York,,,,,,,,,,,,,,,,,
Penguins International,maya+temelio+demo@trytemelio.com,815397749,Penguins International,,"Penguins International is a non-profit organization committed to preserving and protecting penguins around the world. To accomplish this mission, we actively engage in penguin conservation, we educate the public on threats to penguins, and we conduct scientific research investigations to understand penguin biology and best methods for conservation, three activities that go hand-in-hand to fully understand these amazing species of birds and protect them for all to cherish.",,,,,,,,,,,,,,,Penguins International is a nonprofit organization committed to preserving & protecting all species of penguins around the world.,,,,,DENVER,CO,,,,,,,,,,,,,,,,,
GreenWave,maya+temelio+demo@trytemelio.com,475438012,GreenWave,,"GreenWave’s polyculture farming system grows a mix of seaweeds and shellfish that require zero inputs—making it the most sustainable form of food production on the planet—while sequestering carbon and rebuilding reef ecosystems. Since our farms sit vertically below the surface, they produce high yields with a small footprint. With a low barrier to entry, anyone with 20 acres, a boat, and $20-50K can start their own farm.",,,,,,,,,,,,,,,Training and supporting regenerative ocean farmers in the era of climate change.,,,,,NEW HAVEN,Connecticut,,,,,,,,,,,,,,,,,
The Farmlink Project,maya+temelio+demo@trytemelio.com,851398171,Farmlink Project,,"No one should have to go to bed hungry while perfectly viable produce goes to waste. This produce shouldn’t have to be “rescued” from rotting in fields or being sent to the landfill, either; why were we ever letting this produce go to waste in the first place? These are systemic issues that our society needs to address. In a perfect world, The Farmlink Project wouldn’t need to exist—systems would be in place to streamline the supply chain so that zero percent, rather than 30 to 40 percent, of food grown in the United States went to waste. For now, The Farmlink Project is acting as the “link” connecting the broken supply chains in the agricultural and food access industries. Our long-term goal is to set up infrastructure which will render our work obsolete. If there were no food waste, if there were no hungry people lining up outside understocked and underfunded food banks, there would be no need for The Farmlink Project. That’s the dream. We’ve got a lot of work to do before we get there, though. We need you to help us put ourselves out of business.",,,,,,,,,,,,,,,Fighting food insecurity is our mission—repurposing surplus produce is our solution.,,,,,PACIFIC PLSDS,CA,,,,,,,,,,,,,,,,,
Art For All,maya+temelio+demo@trytemelio.com,204777323,"Arts For All, Inc.",,Arts For All is a dynamic arts education program developed to be affordable for all. We provide quality culturally enriched classes that encourage personal growth.,,,,,,,,,,,,,,,"AFA, Inc. is a 501(c)(3) whose mission is to make arts education available and affordable in Greater Omaha. Twitter: https://twitter.com/Arts_For_All",,,,,OMAHA,NE,,,,,,,,,,,,,,,,,
ARTreach,maya+temelio+demo@trytemelio.com,840762625,Artreach,,,,,,,,,,,,,,,,,,,,,,DENVER,Colorado,,,,,,,,,,,,,,,,,
ArtSpan,maya+temelio+demo@trytemelio.com,943148481,ArtSpan,,"ArtSpan is committed to cultivating a vibrant, accessible, and world-class art community in San Francisco and to promoting the city's unique creative energy locally and globally. We champion an inclusive art experience by providing hundreds of local artists with the equal opportunity to showcase their work and make direct connections to diverse audiences and patrons. We are guided by the belief that artists play a vital role in society and that broad public engagement with their work is essential to defining a new cultural environment for our changing city.",,,,,,,,,,,,,,,"ArtSpan, a 501(c)(3) nonprofit organization, builds community by connecting the public to visual arts in San Francisco.",,,,,San Francisco,CA,,,,,,,,,,,,,,,,,
